Regret,NumWaitingJob,STime_A,STime_B,STime_A_VS_B,STime_A_VS_B_Diff,PTime_A,PTime_B,PTime_A_VS_B,PTime_A_VS_B_Diff,CompTime_A,CompTime_B,CompTime_A_VS_B,CompTime_A_VS_B_Diff,Start_A,Start_B,Start_A_VS_B,Start_A_VS_B_Diff,Tardy_A,Tardy_B,Tardy_A_VS_B,Tardy_A_VS_B_Diff
94,10,0,0,=,0,50,45,>,5,50,45,>,5,0,0,=,0,0,0,=,0
0,10,0,0,=,0,31,58,<,-27,31,58,<,-27,0,0,=,0,0,0,=,0
56,10,0,0,=,0,58,31,>,27,58,31,>,27,0,0,=,0,0,0,=,0
0,10,0,0,=,0,43,32,>,11,43,32,>,11,0,0,=,0,0,0,=,0
29,10,0,0,=,0,32,43,<,-11,32,43,<,-11,0,0,=,0,0,0,=,0
0,10,0,0,=,0,49,60,<,-11,49,60,<,-11,0,0,=,0,0,0,=,0
136,10,0,0,=,0,60,49,>,11,60,49,>,11,0,0,=,0,0,0,=,0
0,10,0,0,=,0,38,45,<,-7,38,45,<,-7,0,0,=,0,0,0,=,0
40,10,0,0,=,0,45,38,>,7,45,38,>,7,0,0,=,0,0,0,=,0
0,10,0,0,=,0,30,55,<,-25,30,55,<,-25,0,0,=,0,0,0,=,0
53,10,0,0,=,0,55,30,>,25,55,30,>,25,0,0,=,0,0,0,=,0
0,9,0,25,<,-25,30,55,<,-25,30,123,<,-93,0,43,<,-43,0,0,=,0
122,9,25,0,>,25,55,30,>,25,123,30,>,93,43,0,>,43,0,0,=,0
0,9,32,0,>,32,45,50,<,-5,120,50,>,70,43,0,>,43,34,0,>,34
40,9,0,32,<,-32,50,45,>,5,50,120,<,-70,0,43,<,-43,0,34,<,-34
0,9,75,0,>,75,34,56,<,-22,152,56,>,96,43,0,>,43,0,0,=,0
9,9,0,75,<,-75,56,34,>,22,56,152,<,-96,0,43,<,-43,0,0,=,0
0,9,0,65,<,-65,45,38,>,7,45,146,<,-101,0,43,<,-43,0,0,=,0
112,9,65,0,>,65,38,45,<,-7,146,45,>,101,43,0,>,43,0,0,=,0
0,9,34,0,>,34,45,58,<,-13,122,58,>,64,43,0,>,43,3,0,>,3
137,9,0,34,<,-34,58,45,>,13,58,122,<,-64,0,43,<,-43,0,3,<,-3
0,9,0,87,<,-87,34,58,<,-24,34,188,<,-154,0,43,<,-43,0,23,<,-23
160,9,87,0,>,87,58,34,>,24,188,34,>,154,43,0,>,43,23,0,>,23
0,9,13,0,>,13,31,58,<,-27,87,58,>,29,43,0,>,43,0,0,=,0
142,9,0,13,<,-13,58,31,>,27,58,87,<,-29,0,43,<,-43,0,0,=,0
0,9,0,89,<,-89,37,57,<,-20,37,189,<,-152,0,43,<,-43,0,0,=,0
118,9,89,0,>,89,57,37,>,20,189,37,>,152,43,0,>,43,0,0,=,0
0,9,0,21,<,-21,49,60,<,-11,49,124,<,-75,0,43,<,-43,0,0,=,0
26,9,21,0,>,21,60,49,>,11,124,49,>,75,43,0,>,43,0,0,=,0
0,8,34,54,<,-20,45,58,<,-13,122,142,<,-20,43,30,>,13,3,23,<,-20
100,8,54,34,>,20,58,45,>,13,142,122,>,20,30,43,<,-13,23,3,>,20
0,8,13,31,<,-18,31,58,<,-27,87,119,<,-32,43,30,>,13,0,0,=,0
49,8,31,13,>,18,58,31,>,27,119,87,>,32,30,43,<,-13,0,0,=,0
0,8,12,32,<,-20,50,45,>,5,92,120,<,-28,30,43,<,-13,6,34,<,-28
82,8,32,12,>,20,45,50,<,-5,120,92,>,28,43,30,>,13,34,6,>,28
0,8,69,87,<,-18,34,58,<,-24,133,188,<,-55,30,43,<,-13,0,23,<,-23
107,8,87,69,>,18,58,34,>,24,188,133,>,55,43,30,>,13,23,0,>,23
0,8,43,65,<,-22,45,38,>,7,118,146,<,-28,30,43,<,-13,0,0,=,0
126,8,65,43,>,22,38,45,<,-7,146,118,>,28,43,30,>,13,0,0,=,0
0,8,75,74,>,1,34,56,<,-22,152,160,<,-8,43,30,>,13,0,0,=,0
77,8,74,75,<,-1,56,34,>,22,160,152,>,8,30,43,<,-13,0,0,=,0
0,8,21,72,<,-51,60,49,>,11,124,151,<,-27,43,30,>,13,0,0,=,0
40,8,72,21,>,51,49,60,<,-11,151,124,>,27,30,43,<,-13,0,0,=,0
0,8,48,89,<,-41,37,57,<,-20,115,189,<,-74,30,43,<,-13,0,0,=,0
144,8,89,48,>,41,57,37,>,20,189,115,>,74,43,30,>,13,0,0,=,0
0,7,12,27,<,-15,50,45,>,5,92,194,<,-102,30,122,<,-92,6,108,<,-102
80,7,27,12,>,15,45,50,<,-5,194,92,>,102,122,30,>,92,108,6,>,102
0,7,17,31,<,-14,31,58,<,-27,170,119,>,51,122,30,>,92,38,0,>,38
80,7,31,17,>,14,58,31,>,27,119,170,<,-51,30,122,<,-92,0,38,<,-38
0,7,43,85,<,-42,45,38,>,7,118,245,<,-127,30,122,<,-92,0,21,<,-21
123,7,85,43,>,42,38,45,<,-7,245,118,>,127,122,30,>,92,21,0,>,21
0,7,53,48,>,5,57,37,>,20,232,115,>,117,122,30,>,92,10,0,>,10
13,7,48,53,<,-5,37,57,<,-20,115,232,<,-117,30,122,<,-92,0,10,<,-10
0,7,38,74,<,-36,34,56,<,-22,194,160,>,34,122,30,>,92,0,0,=,0
223,7,74,38,>,36,56,34,>,22,160,194,<,-34,30,122,<,-92,0,0,=,0
0,7,69,63,>,6,34,58,<,-24,133,243,<,-110,30,122,<,-92,0,78,<,-78
24,7,63,69,<,-6,58,34,>,24,243,133,>,110,122,30,>,92,78,0,>,78
0,7,42,72,<,-30,60,49,>,11,224,151,>,73,122,30,>,92,0,0,=,0
61,7,72,42,>,30,49,60,<,-11,151,224,<,-73,30,122,<,-92,0,0,=,0
0,6,17,67,<,-50,31,58,<,-27,170,217,<,-47,122,92,>,30,38,85,<,-47
131,6,67,17,>,50,58,31,>,27,217,170,>,47,92,122,<,-30,85,38,>,47
0,6,20,38,<,-18,56,34,>,22,168,194,<,-26,92,122,<,-30,0,0,=,0
42,6,38,20,>,18,34,56,<,-22,194,168,>,26,122,92,>,30,0,0,=,0
0,6,40,85,<,-45,45,38,>,7,177,245,<,-68,92,122,<,-30,0,21,<,-21
200,6,85,40,>,45,38,45,<,-7,245,177,>,68,122,92,>,30,21,0,>,21
0,6,68,53,>,15,37,57,<,-20,197,232,<,-35,92,122,<,-30,0,10,<,-10
84,6,53,68,<,-15,57,37,>,20,232,197,>,35,122,92,>,30,10,0,>,10
0,6,43,42,>,1,49,60,<,-11,184,224,<,-40,92,122,<,-30,0,0,=,0
90,6,42,43,<,-1,60,49,>,11,224,184,>,40,122,92,>,30,0,0,=,0
0,6,78,63,>,15,34,58,<,-24,204,243,<,-39,92,122,<,-30,39,78,<,-39
87,6,63,78,<,-15,58,34,>,24,243,204,>,39,122,92,>,30,78,39,>,39
0,5,20,61,<,-41,56,34,>,22,168,265,<,-97,92,170,<,-78,0,48,<,-48
86,5,61,20,>,41,34,56,<,-22,265,168,>,97,170,92,>,78,48,0,>,48
0,5,28,40,<,-12,38,45,<,-7,236,177,>,59,170,92,>,78,12,0,>,12
35,5,40,28,>,12,45,38,>,7,177,236,<,-59,92,170,<,-78,0,12,<,-12
0,5,68,49,>,19,37,57,<,-20,197,276,<,-79,92,170,<,-78,0,54,<,-54
16,5,49,68,<,-19,57,37,>,20,276,197,>,79,170,92,>,78,54,0,>,54
0,5,26,43,<,-17,60,49,>,11,256,184,>,72,170,92,>,78,18,0,>,18
52,5,43,26,>,17,49,60,<,-11,184,256,<,-72,92,170,<,-78,0,18,<,-18
0,5,50,78,<,-28,58,34,>,24,278,204,>,74,170,92,>,78,113,39,>,74
35,5,78,50,>,28,34,58,<,-24,204,278,<,-74,92,170,<,-78,39,113,<,-74
0,4,28,53,<,-25,38,45,<,-7,236,266,<,-30,170,168,>,2,12,42,<,-30
45,4,53,28,>,25,45,38,>,7,266,236,>,30,168,170,<,-2,42,12,>,30
0,4,26,86,<,-60,60,49,>,11,256,303,<,-47,170,168,>,2,18,65,<,-47
82,4,86,26,>,60,49,60,<,-11,303,256,>,47,168,170,<,-2,65,18,>,47
0,4,52,49,>,3,37,57,<,-20,257,276,<,-19,168,170,<,-2,35,54,<,-19
84,4,49,52,<,-3,57,37,>,20,276,257,>,19,170,168,>,2,54,35,>,19
0,4,50,82,<,-32,58,34,>,24,278,284,<,-6,170,168,>,2,113,119,<,-6
43,4,82,50,>,32,34,58,<,-24,284,278,>,6,168,170,<,-2,119,113,>,6
0,3,52,69,<,-17,37,57,<,-20,257,362,<,-105,168,236,<,-68,35,140,<,-105
154,3,69,52,>,17,57,37,>,20,362,257,>,105,236,168,>,68,140,35,>,105
0,3,50,86,<,-36,60,49,>,11,346,303,>,43,236,168,>,68,108,65,>,43
58,3,86,50,>,36,49,60,<,-11,303,346,<,-43,168,236,<,-68,65,108,<,-43
0,3,16,82,<,-66,58,34,>,24,310,284,>,26,236,168,>,68,145,119,>,26
118,3,82,16,>,66,34,58,<,-24,284,310,<,-26,168,236,<,-68,119,145,<,-26
0,2,16,72,<,-56,58,34,>,24,310,363,<,-53,236,257,<,-21,145,198,<,-53
69,2,72,16,>,56,34,58,<,-24,363,310,>,53,257,236,>,21,198,145,>,53
0,2,24,50,<,-26,49,60,<,-11,330,346,<,-16,257,236,>,21,92,108,<,-16
69,2,50,24,>,26,60,49,>,11,346,330,>,16,236,257,<,-21,108,92,>,16
0,1,24,69,<,-45,49,60,<,-11,330,439,<,-109,257,310,<,-53,92,201,<,-109
109,1,69,24,>,45,60,49,>,11,439,330,>,109,310,257,>,53,201,92,>,109
0,6,0,0,=,0,42,32,>,10,42,32,>,10,0,0,=,0,0,0,=,0
19,6,0,0,=,0,32,42,<,-10,32,42,<,-10,0,0,=,0,0,0,=,0
0,6,0,0,=,0,30,39,<,-9,30,39,<,-9,0,0,=,0,0,0,=,0
47,6,0,0,=,0,39,30,>,9,39,30,>,9,0,0,=,0,0,0,=,0
0,6,0,0,=,0,57,58,<,-1,57,58,<,-1,0,0,=,0,0,0,=,0
13,6,0,0,=,0,58,57,>,1,58,57,>,1,0,0,=,0,0,0,=,0
0,6,0,0,=,0,36,48,<,-12,36,48,<,-12,0,0,=,0,0,0,=,0
80,6,0,0,=,0,48,36,>,12,48,36,>,12,0,0,=,0,0,0,=,0
0,6,0,0,=,0,52,44,>,8,52,44,>,8,0,0,=,0,0,0,=,0
33,6,0,0,=,0,44,52,<,-8,44,52,<,-8,0,0,=,0,0,0,=,0
0,6,0,0,=,0,34,51,<,-17,34,51,<,-17,0,0,=,0,0,0,=,0
80,6,0,0,=,0,51,34,>,17,51,34,>,17,0,0,=,0,0,0,=,0
0,5,0,21,<,-21,34,51,<,-17,34,108,<,-74,0,36,<,-36,0,45,<,-45
97,5,21,0,>,21,51,34,>,17,108,34,>,74,36,0,>,36,45,0,>,45
0,5,62,0,>,62,30,39,<,-9,128,39,>,89,36,0,>,36,0,0,=,0
33,5,0,62,<,-62,39,30,>,9,39,128,<,-89,0,36,<,-36,0,0,=,0
0,5,29,0,>,29,52,44,>,8,117,44,>,73,36,0,>,36,17,0,>,17
75,5,0,29,<,-29,44,52,<,-8,44,117,<,-73,0,36,<,-36,0,17,<,-17
0,5,0,76,<,-76,32,42,<,-10,32,154,<,-122,0,36,<,-36,0,57,<,-57
27,5,76,0,>,76,42,32,>,10,154,32,>,122,36,0,>,36,57,0,>,57
0,5,0,77,<,-77,58,57,>,1,58,170,<,-112,0,36,<,-36,0,57,<,-57
28,5,77,0,>,77,57,58,<,-1,170,58,>,112,36,0,>,36,57,0,>,57
0,4,29,26,>,3,52,44,>,8,117,104,>,13,36,34,>,2,17,4,>,13
47,4,26,29,<,-3,44,52,<,-8,104,117,<,-13,34,36,<,-2,4,17,<,-13
0,4,62,44,>,18,30,39,<,-9,128,117,>,11,36,34,>,2,0,0,=,0
21,4,44,62,<,-18,39,30,>,9,117,128,<,-11,34,36,<,-2,0,0,=,0
0,4,29,76,<,-47,32,42,<,-10,95,154,<,-59,34,36,<,-2,0,57,<,-57
99,4,76,29,>,47,42,32,>,10,154,95,>,59,36,34,>,2,57,0,>,57
0,4,32,77,<,-45,58,57,>,1,124,170,<,-46,34,36,<,-2,11,57,<,-46
90,4,77,32,>,45,57,58,<,-1,170,124,>,46,36,34,>,2,57,11,>,46
0,3,29,81,<,-52,32,42,<,-10,95,240,<,-145,34,117,<,-83,0,143,<,-143
147,3,81,29,>,52,42,32,>,10,240,95,>,145,117,34,>,83,143,0,>,143
0,3,32,17,>,15,58,57,>,1,124,191,<,-67,34,117,<,-83,11,78,<,-67
39,3,17,32,<,-15,57,58,<,-1,191,124,>,67,117,34,>,83,78,11,>,67
0,3,13,44,<,-31,30,39,<,-9,160,117,>,43,117,34,>,83,29,0,>,29
68,3,44,13,>,31,39,30,>,9,117,160,<,-43,34,117,<,-83,0,29,<,-29
0,2,13,86,<,-73,30,39,<,-9,160,220,<,-60,117,95,>,22,29,89,<,-60
62,2,86,13,>,73,39,30,>,9,220,160,>,60,95,117,<,-22,89,29,>,60
0,2,36,17,>,19,58,57,>,1,189,191,<,-2,95,117,<,-22,76,78,<,-2
62,2,17,36,<,-19,57,58,<,-1,191,189,>,2,117,95,>,22,78,76,>,2
